Date,Clicks,Impressions,CTR,Position
2025-12-28,0,7,0%,20.4
2025-12-29,0,9,0%,10.2
2025-12-30,0,14,0%,31.4
2025-12-31,0,8,0%,14
2026-01-01,0,7,0%,14.4
2026-01-02,0,9,0%,20.2
2026-01-03,0,9,0%,7.9
2026-01-04,0,6,0%,13.8
2026-01-05,0,9,0%,21
2026-01-06,1,15,6.67%,16.7
2026-01-07,0,15,0%,12.5
2026-01-08,0,25,0%,18.1
2026-01-09,0,11,0%,31.4
2026-01-10,0,9,0%,13.8
2026-01-11,0,6,0%,14.5
2026-01-12,1,8,12.5%,19.6
2026-01-13,0,10,0%,5.6
2026-01-14,0,11,0%,7.5
2026-01-15,0,7,0%,15
2026-01-16,0,8,0%,15
2026-01-17,0,6,0%,20.3
2026-01-18,0,17,0%,11
2026-01-19,0,6,0%,7.7
2026-01-20,1,13,7.69%,34.6
2026-01-21,0,17,0%,29.5
2026-01-22,0,11,0%,17
2026-01-23,0,4,0%,10.8
2026-01-24,0,13,0%,15.8
2026-01-25,0,14,0%,8.1
2026-01-26,0,16,0%,11.6
2026-01-27,0,12,0%,16.7
2026-01-28,0,8,0%,15.5
2026-01-29,0,15,0%,15.3
2026-01-30,0,10,0%,8
2026-01-31,0,8,0%,12.9
2026-02-01,0,12,0%,14.4
2026-02-02,1,18,5.56%,18.1
2026-02-03,0,21,0%,18.9
2026-02-04,1,12,8.33%,11.4
2026-02-05,0,24,0%,18.5
2026-02-06,1,22,4.55%,22.1
2026-02-07,0,22,0%,14.7
2026-02-08,0,27,0%,13
2026-02-09,1,11,9.09%,12.3
2026-02-10,0,36,0%,11.7
2026-02-11,0,25,0%,9.4
2026-02-12,1,29,3.45%,18.5
2026-02-13,1,37,2.7%,15.1
2026-02-14,0,41,0%,14.7
2026-02-15,1,38,2.63%,15.2
2026-02-16,1,37,2.7%,16.1
2026-02-17,0,27,0%,15.2
2026-02-18,0,47,0%,11.6
2026-02-19,0,46,0%,17.2
2026-02-20,1,29,3.45%,18
2026-02-21,0,51,0%,12.9
2026-02-22,0,32,0%,13.2
2026-02-23,0,32,0%,15.1
2026-02-24,0,30,0%,13.1
2026-02-25,0,27,0%,14.1
2026-02-26,0,35,0%,14.1
2026-02-27,0,28,0%,11.9
2026-02-28,0,18,0%,17.1
2026-03-01,1,19,5.26%,7.8
2026-03-02,0,22,0%,14.8
2026-03-03,1,20,5%,12.4
2026-03-04,1,21,4.76%,13.8
2026-03-05,0,21,0%,18.6
2026-03-06,0,33,0%,12.2
2026-03-07,1,26,3.85%,12.7
